Q1586454	Harry Chapin
Q361677	Mick Ronson
Q27184	Jive
Q231487	Monica
Q1008	Ivory Coast
Q313581	Nicolae Iorga
Q1133657	traditional heavy metal
Q163829	synthesizer
Q152293	Aram Khachaturian
Q8246794	blogger
Q183167	G. K. Chesterton
Q567	Angela Merkel
Q27407	East Africa
Q905	Franz Kafka
Q286022	Common
Q76409	Charles Bukowski
Q32849	Akon
Q21	England
Q485310	Neil Patrick Harris
Q310300	James Taylor
Q236212	Petula Clark
Q371403	Kyle Gass
Q32927	Valery Leontiev
Q228909	Mary J. Blige
Q311232	Tyrese Gibson
Q50764	Éric Rohmer
Q12144794	prosaist
Q376150	International Telecommunication Union
Q214	Slovakia
Q4473	Jennette McCurdy
Q697	Nauru
Q17455	John von Neumann
Q23728	Larry David
Q208909	Parlophone
Q55207	Nikita Mikhalkov
Q350362	James Blake
Q9317	John Maynard Keynes
Q781	Antigua and Barbuda
Q12908	George Soros
Q1195390	Andrew Ridgeley
Q657	Chad
Q174193	United Kingdom of Great Britain and Ireland
Q45	Portugal
Q104109	Mary Pickford
Q461104	Jaroslav Vrchlický
Q131964	Austrian Empire
Q23517	Ricky Gervais
Q228792	Dianna Agron
Q125666	Nyusha
Q34	Sweden
Q292373	Barbara Mandrell
Q32257	Christoph Wilhelm Hufeland
Q237654	Lisa Loeb
Q277356	Sergei Gerasimov
Q44221	Sean Penn
Q488205	singer-songwriter
Q191819	George Martin
Q128746	Irving Berlin
Q9327	Guy de Maupassant
Q184249	Kelly Rowland
Q214574	Jan Josef Liefers
Q40874	Doris Lessing
Q2305208	Russian Soviet Federative Socialist Republic
Q78496	Konrad Lorenz
Q463303	American Academy of Arts and Sciences
Q42831	Ivan Turgenev
Q1013	Lesotho
Q836	Myanmar
Q864503	biologist
Q1036	Uganda
Q430922	Paul Reiser
Q53001	Jean-Luc Godard
Q193023	Capitol Records
Q154561	University of Jena
Q188648	Raven-Symoné
Q11998	Kylie Minogue
Q44398	Falco
Q193803	Roger Penrose
Q5685	Anton Chekhov
Q85914	Herman Francis Mark
Q152838	University of Göttingen
Q238795	St. Vincent
Q374362	Nikolay Ogarev
Q921	Brunei
Q35794	University of Cambridge
Q144622	Phil Collins
Q23434	Ernest Hemingway
Q312053	Rick Wakeman
Q220550	Ján Kollár
Q1841	Catholicism
Q783992	Burton Cummings
Q122701	William Thomson, 1st Baron Kelvin
Q726071	Jimmy Buffett
Q151814	Sarah Brightman
Q317397	Uzeyir Hajibeyov
Q242	Belize
Q73089	Gene Kelly
Q203223	Ciara
Q381884	Sergey Lazarev
Q664	New Zealand
Q1290	Blaise Pascal
Q257302	LeToya Luckett
Q83501	Vladimir Prelog
Q966565	Tex Ritter
Q191064	Liv Ullmann
Q104154	Urbain Le Verrier
Q60128	Alexander Alexandrovich Fadeyev
Q127330	Frank Zappa
Q77087	Klaus Mann
Q36488	Guglielmo Marconi
Q477461	Amr Diab
Q690974	Brandy Norwood
Q1151	Hector Berlioz
Q123225	Albrecht von Haller
Q6512	Søren Kierkegaard
Q784	Dominica
Q295919	Sam Cooke
Q695	Palau
Q672	Tuvalu
Q947873	television presenter
Q39631	physician
Q9095	James Clerk Maxwell
Q543804	German Academy of Sciences Leopoldina
Q41594	Christina Aguilera
Q208116	Sergey Mikhalkov
Q107933	Jim Belushi
Q3291340	Société Philomathique de Paris
Q483907	Jack Black
Q865	Taiwan
Q14281	Giovanni Schiaparelli
Q200639	Paul Valéry
Q4235	Miley Cyrus
Q44403	Heinrich Heine
Q235946	Elizabeth Bishop
Q242873	Ingrid Michaelson
Q482980	author
Q862	Joseph Brodsky
Q61597	Erika Mann
Q180468	Albert Szent-Györgyi
Q233817	Debbie Gibson
Q41166	Jonathan Swift
Q4039	Art Garfunkel
Q311193	Yoshiki
Q49542	Russians
Q1391164	Tamer Hosny
Q161885	Great Britain
Q443120	Lance Bass
Q12192	pneumonia
Q187199	Carlo Rubbia
Q4263842	literary critic
Q241	Cuba
Q60059	Albertus Magnus
Q156814	Yehudi Menuhin
Q319084	Al Franken
Q466089	American Philosophical Society
Q311	Père Lachaise Cemetery
Q842324	indie pop
Q106762	George Porter, Baron Porter of Luddenham
Q212699	Geffen Records
Q365682	Gordon Parks
Q93401	Franz Miklosich
Q152453	Keri Hilson
Q16957	German Democratic Republic
Q190076	Joe Cocker
Q6607	guitar
Q699541	Geoffrey Ingram Taylor
Q366012	Avery Brooks
Q70737	Hans Mayer
Q192165	Danny Glover
Q236318	Faith Evans
Q5878	Gabriel García Márquez
Q4412	West Africa
Q199943	Adriano Celentano
Q214227	T.I.
Q928	Philippines
Q4985	Herman Melville
Q49074	Kurt Vonnegut
Q685	Solomon Islands
Q227129	Zoë Kravitz
Q190585	Island Records
Q29468	Republican Party
Q240523	Swizz Beatz
Q262	Algeria
Q22072	John Farnham
Q178698	W. H. Auden
Q1049	Sudan
Q217427	La Toya Jackson
Q12585	Latin America
Q2329	chemistry
Q44306	Salman Rushdie
Q33999	actor
Q826700	International Energy Agency
Q1969730	Schengen Area
Q220192	Zoolander
Q235	Monaco
Q2059704	television director
Q154756	Italo Calvino
Q9061	Karl Marx
Q39829	Stephen King
Q881	Vietnam
Q484292	Chinghiz Aitmatov
Q9391	Ludwig Wittgenstein
Q303	Elvis Presley
Q35385	Glukoza
Q358345	Billy Dee Williams
Q114	Kenya
Q161877	Ashanti
Q49085	African Americans
Q229139	Peggy Lee
Q286339	Yvonne De Carlo
Q258846	Rickie Lee Jones
Q217160	Kenny Rogers
Q57802	Gotthelf Fischer von Waldheim
Q501	Charles Baudelaire
Q3348506	AFRISTAT
Q25147	Franco Battiato
Q12003	Cher
Q158852	conductor
Q1298934	synth-pop
Q977	Djibouti
Q49738	German Academy of Sciences at Berlin
Q1281738	Kinky Friedman
Q8475	Interpol
Q22670	Friedrich Schiller
Q208871	Ike Turner
Q365042	Bret Michaels
Q170515	Omar Sharif
Q8772	Joseph Fourier
Q129119	Ruslana
Q450412	Richard Sennett
Q55	Netherlands
Q75809	Lutheranism
Q64	Berlin
Q311068	Wallace Shawn
Q827525	International Development Association
Q184535	Sofia Kovalevskaya
Q158078	Alfred Schnittke
Q805	Yemen
Q150471	E. T. A. Hoffmann
Q12204	tuberculosis
Q223741	Brian Molko
Q1112005	Queen Latifah
Q49757	poet
Q267406	Vitamin C
Q202878	Mae West
Q958	South Sudan
Q15180	Soviet Union
Q106740	Dorothy L. Sayers
Q194045	Steven Tyler
Q899770	International Centre for Settlement of Investment Disputes
Q228860	Colbie Caillat
Q23543	Selena
Q159542	Jan Evangelista Purkyně
Q49081	Christopher Hitchens
Q656801	International Finance Corporation
Q241835	Milva
Q201788	historian
Q159642	František Palacký
Q90	Paris
Q2865819	opera singer
Q1005	Gambia
Q25080	Ilya Oleynikov
Q335142	Alexander Bogdanov
Q188176	William S. Burroughs
Q154216	Cat Stevens
Q945	Togo
Q80596	Arthur Miller
Q152087	Humboldt University of Berlin
Q210059	Neil Gaiman
Q310048	Don DeLillo
Q7184	NATO
Q5354	Ernst Mayr
Q983	Equatorial Guinea
Q83557	Nikolay Basov
Q811	Nicaragua
Q231270	Khloé Kardashian
Q974	Democratic Republic of the Congo
Q12706	Maxim Gorki
Q282722	Trent Reznor
Q12362622	philanthropist
Q201732	Robert Graves
Q882	Charlie Chaplin
Q960081	Kenneth Burke
Q169566	H. P. Lovecraft
Q41309	Franz Liszt
Q208117	Bella Thorne
Q47152	Mary Shelley
Q1016	Libya
Q1027	Mauritius
Q151118	Katerina Graham
Q229018	Jewel
Q316930	dance music
Q1234713	theologian
Q730261	Fredro Starr
Q41550	Organisation for Economic Cooperation and Development
Q413	physics
Q5686	Charles Dickens
Q60052	Gustav Kirchhoff
Q93356	Seamus Heaney
Q1085	Prague
Q47216	Condoleezza Rice
Q270935	Chris Cornell
Q722042	Master P
Q236075	Alyson Michalka
Q100	Boston
Q991	Fyodor Dostoyevsky
Q216288	Garth Brooks
Q15646111	Academy of Arts of the GDR
Q433060	Daniel Johnston
Q215026	Debbie Harry
Q188461	Dannii Minogue
Q126399	Warner Bros.
Q597433	Peter Tork
Q4853732	children's writer
Q6927	20th century
Q185351	jurist
Q320146	Léo Ferré
Q313525	Lionel Hampton
Q357455	Ray Davies
Q154804	Leipzig University
Q180338	Christopher Lee
Q34628	Gotthold Ephraim Lessing
Q152513	Henry Wadsworth Longfellow
Q84186	Ivan Illich
Q107420	Sheldon Lee Glashow
Q64406	Henrik Steffens
Q72984	Bing Crosby
Q41042	Harold Pinter
Q19526	Maya Angelou
Q242110	Ayọ
Q869	Thailand
Q962	Benin
Q179150	Sonny Bono
Q340016	Denis Johnson
Q704700	John Hartford
Q162202	Nicki Minaj
Q316872	Afrika Bambaataa
Q50713	Jean Renoir
Q156941	Eduard Suess
Q228968	Fiona Apple
Q229282	Katharine McPhee
Q281034	Harry Nilsson
Q17457	Donald Knuth
Q38082	Lewis Carroll
Q596717	Phil Harris
Q656	Saint Petersburg
Q121594	professor
Q66732	Eugen Rosenstock-Huessy
Q194333	Billy Joel
Q154331	György Ligeti
Q299015	Austrian Academy of Sciences
Q220308	Seth Rogen
Q311145	Joaquim Maria Machado de Assis
Q157318	Leszek Kołakowski
Q5891	philosophy
Q60	New York City
Q319392	Marlon Jackson
Q41351	Jodie Foster
Q216195	Tom Wolfe
Q26876	Taylor Swift
Q232592	Jill Scott
Q299138	Kid Cudi
Q169452	Shaquille O'Neal
Q298388	Noël Coward
Q12807	Umberto Eco
Q47667	Hu Shih
Q183387	Columbia Records
Q36	Poland
Q180861	Roger Waters
Q467423	Robin Thicke
Q204019	M.I.A.
Q83440	country music
Q41568	Michel de Montaigne
Q342778	Pat Boone
Q794	Iran
Q39989	Ronny Cox
Q33240	Drake
Q684415	Bavarian Academy of Sciences and Humanities
Q246731	Theodosius Dobzhansky
Q4612	Marlene Dietrich
Q170481	Asia-Pacific Economic Cooperation
Q1268	Frédéric Chopin
Q916	Angola
Q83643	Andrey Gubin
Q269890	Don Rickles
Q1203	John Lennon
Q274342	Tatyana Tolstaya
Q338432	Lincean Academy
Q2263	Tom Hanks
Q423	North Korea
Q43327	Motown
Q154353	François Arago
Q57281	August Wilhelm Schlegel
Q7042855	film editor
Q505476	Avicii
Q77109	Golo Mann
Q123885	Royal Society
Q5879	Johann Wolfgang von Goethe
Q17714	Stephen Hawking
Q15949613	short story writer
Q164487	Ava Gardner
Q3387717	theater director
Q171905	Jamie Foxx
Q593644	chemist
Q45321	Harald Lesch
Q156749	Adolf Erik Nordenskiöld
Q164784	Jean Gaston Darboux
Q150767	Benjamin Britten
Q678551	American Jews
Q2643890	vocalist
Q254510	Melissa Auf der Maur
Q298761	Clive Barker
Q78704	Hanns Eisler
Q336278	Neil Tennant
Q242792	Laura Marano
Q21590660	Western
Q28	Hungary
Q46599	Mikhail Lermontov
Q170509	Henry James
Q238819	Jay Chou
Q270794	National Academy of Sciences
Q40912	Frank Sinatra
Q201927	David Hasselhoff
Q1779	Louis Armstrong
Q7066	atheism
Q483203	Sting
Q318004	Antoine César Becquerel
Q29999	Kingdom of the Netherlands
Q713750	West Germany
Q207036	A. A. Milne
Q155152	Polydor Records
Q107424	Akiko Yano
Q41257	Heinrich Rudolf Hertz
Q101638	Mary Wollstonecraft
Q61078	Walter Benjamin
Q7737	Russian
Q155079	Missy Elliott
Q216913	Deryck Whibley
Q41173	Demi Lovato
Q152929	Meat Loaf
Q201538	Edward Said
Q19723482	mandolinist
Q11063	astronomer
Q3057567	Erwin Raisz
Q171363	Viggo Mortensen
Q52447	RZA
Q47243	Elfriede Jelinek
Q215359	Dean Martin
Q190220	Philip Pullman
Q42402	Andrea Bocelli
Q157271	Friedrich Schlegel
Q61374	Wolfhart Pannenberg
Q177220	singer
Q29	Spain
Q19810	Victoria Beckham
Q38193	Arthur Schopenhauer
Q1175266	David Lindley
Q19350898	theoretical physicist
Q483501	artist
Q33391	Leon Trotsky
Q105460	John Denver
Q224159	William H. Macy
Q22686	Donald Trump
Q7172	Arab League
Q184572	Martin Sheen
Q888152	Bob Mould
Q230836	Emilie Autumn
Q37030	Thomas Mann
Q320895	Geddy Lee
Q154691	Carlos Fuentes
Q229	Republic of Cyprus
Q164444	funk
Q704696	Ray Lankester
Q49115	Cornell University
Q1001	Mohandas Karamchand Gandhi
Q874	Turkmenistan
Q43287	German Empire
Q117139	Wiz Khalifa
Q1151944	Mary-Kate Olsen
Q157242	Alexander R. Todd, Baron Todd
Q200464	Portuguese Empire
Q239195	Hayley Kiyoko
Q624307	Arab Monetary Fund
Q107002	Evelyn Waugh
Q31	Belgium
Q348658	Adam Ant
Q42406	English people
Q35610	Arthur Conan Doyle
Q228546	Alphonse Daudet
Q10800557	film actor
Q232052	Asia Argento
Q55044	Ludwig Maximilian University of Munich
Q190251	Richard Wright
Q1006	Guinea
Q40096	Will Smith
Q76959	Ralf Dahrendorf
Q15935	Kanye West
Q57535	Sebastian Haffner
Q188771	French Academy of Sciences
Q233253	June Carter Cash
Q225	Bosnia and Herzegovina
Q104000	Lauren Bacall
Q306122	Hyde
Q228733	Lea Michele
Q12799318	powest
Q17172850	voice
Q16053	Melchior de Vogüé
Q192185	Aaron Copland
Q206112	Willie Nelson
Q79	Egypt
Q38757	Bertolt Brecht
Q668	India
Q168468	David Brewster
Q219	Bulgaria
Q526406	Ric Ocasek
Q446743	Julian Klaczko
Q73463	Miguel
Q448837	André 3000
Q214917	playwright
Q82110	Steven Seagal
Q332032	Alice Cooper
Q572741	Kwame Anthony Appiah
Q221546	Jason Newsted
Q2831	Michael Jackson
Q1072120	Missile Technology Control Regime
Q273626	École Polytechnique
Q311241	Bobby Brown
Q227	Azerbaijan
Q155907	Sir George Stokes, 1st Baronet
Q3986379	The Compleat Beatles
Q49451	progressive rock
Q587361	Rick Rubin
Q44606	Gackt
Q512	Vladimir Vysotsky
Q210741	Eric Idle
Q675	André-Marie Ampère
Q15873	Brian May
Q1641839	experimental rock
Q154959	Hugo Grotius
Q183	Germany
Q83396	Eleanor Roosevelt
Q1344	opera
Q408	Australia
Q230068	Ève Curie
Q151972	Josephine Baker
Q36844	Rihanna
Q298838	Billy Connolly
Q81299	Organization for Security and Co-operation in Europe
Q361257	Shel Silverstein
Q35332	Brad Pitt
Q366671	Jan Hammer
Q13909	Angelina Jolie
Q289003	Myles Kennedy
Q204751	Anthony Kiedis
Q901402	geographer
Q25820	Thomas Young
Q93996	Ernst Mach
Q170790	mathematician
Q37150	Lana Del Rey
Q810	Jordan
Q7833	Boris Vian
Q704015	Konstantin Fedin
Q223875	Erykah Badu
Q77143	Thomas Anders
Q6701	Jacob Grimm
Q219878	Emma Bunton
Q104340	Harold Lloyd
Q165911	Usher
Q947519	John Ciardi
Q306403	James Franco
Q986	Eritrea
Q115483	Max Frisch
Q325396	Judd Apatow
Q82222	Little Richard
Q310170	Curtis Mayfield
Q240933	Joan Rivers
Q5928	Jimi Hendrix
Q3282637	film producer
Q151593	Olivier Messiaen
Q504	Émile Zola
Q233377	Amerie
Q1029	Mozambique
Q76892	Friedrich Carl von Savigny
Q230	Georgia
Q5611262	Group on Earth Observations
Q180224	Lenny Kravitz
Q356986	Levon Helm
Q187814	Tracy Chapman
Q242418	Janel Parrish
Q733	Paraguay
Q157155	Ernest Renan
Q165745	Mercury Records
Q237833	George Santayana
Q202729	Jerry Lee Lewis
Q47912	lung cancer
Q254	Wolfgang Amadeus Mozart
Q948	Tunisia
Q294531	Neil Diamond
Q9364	Jean-Paul Sartre
Q182725	Etta James
Q16287483	opinion journalist
Q1886750	Van McCoy
Q12881	Paulo Coelho
Q36233	Václav Havel
Q730	Suriname
Q330629	Sony Music
Q234388	Rebbie Jackson
Q308711	Vladislav Krapivin
Q59185	Busta Rhymes
Q188111	Ayumi Hamasaki
Q14278	John Frederick William Herschel
Q134456	Yukio Mishima
Q42884	Germans
Q47164	Santa Monica
Q7825	World Trade Organization
Q270123	Kiely Williams
Q233081	Vanessa Carlton
Q311802	Giuseppe Ungaretti
Q155412	Toni Braxton
Q502	Stendhal
Q44648	Eric Burdon
Q82083	John Keats
Q61813	Abraham Gotthelf Kästner
Q34970	D. H. Lawrence
Q349217	Norman Wisdom
Q989	John Paul II
Q1093318	Celeste Buckingham
Q732513	Jô Soares
Q187884	Jan Rubes
Q1741	Vienna
Q346801	Peter Buck
Q43	Turkey
Q7439	Richard Stallman
Q192912	Stephen Fry
Q80739	Charlton Heston
Q535	Victor Hugo
Q205375	inventor
Q370560	David Crosby
Q160640	Raymond Aron
Q54945	Hannes Alfvén
Q2086086	Valery Meladze
Q43718	Nikolai Gogol
Q192410	Jennifer Hudson
Q140694	Alexis de Tocqueville
Q1282910	Eddie Money
Q128309	drum kit
Q8646	Hong Kong
Q201656	Nick Jonas
Q4538	Jonathan Winters
Q218	Romania
Q887347	Bo Burnham
Q362332	David Cross
Q2680	Bruce Willis
Q206159	psychedelic rock
Q349461	Randy Jackson
Q311267	Bobby Darin
Q76772	Heinrich Wilhelm Gottfried von Waldeyer-Hartz
Q188094	economist
Q57619	Frank Wedekind
Q1514	Janis Joplin
Q130742	Alanis Morissette
Q291405	Sky Ferreira
Q691	Papua New Guinea
Q937	Albert Einstein
Q61197	Johann Christian Poggendorff
Q2685	Arnold Schwarzenegger
Q236005	Melanie Brown
Q45255	Karl Valentin
Q392	Bob Dylan
Q329464	Royal Prussian Academy of Sciences
Q231690	Bhimrao Ramji Ambedkar
Q318475	Randy Newman
Q179282	Steven Weinberg
Q207947	Ralph Vaughan Williams
Q1019	Madagascar
Q160433	Gilbert Bécaud
Q1449438	Mick Wingert
Q107432	Charles Mingus Jr.
Q216221	Steve Carell
Q16473	Steve Martin
Q189665	Ivan Goncharov
Q8011	Avicenna
Q439315	Jemaine Clement
Q209842	University of Paris (1896-1968)
Q42747	Heinrich Böll
Q639669	musician
Q582152	Yuri Vizbor
Q970	Comoros
Q283859	Edvard Radzinsky
Q76442	Johann Christoph Gottsched
Q6882	James Joyce
Q57382	Christa Wolf
Q58720	Mikhail Vassilyevich Lomonosov
Q82925	Joseph Conrad
Q106775	Richard Harris
Q157400	Idina Menzel
Q246497	Mstislav Keldysh
Q76823	Karl Mannheim
Q186472	folk rock
Q265058	Hungarian Academy of Sciences
Q258	South Africa
Q228787	Jada Pinkett Smith
Q104049	Sidney Poitier
Q54860	Walt Disney Records
Q11930	Kevin Costner
Q115	Ethiopia
Q265252	Buckethead
Q1007	Guinea-Bissau
Q79759	John Milton
Q801	Israel
Q332462	Ivan Franko
Q414188	Göttingen Academy of Sciences
Q357974	Julian Lennon
Q4783148	Arab Bank for Economic Development in Africa
Q314424	Mark Salling
Q9592	Catholic Church
Q25014	John Cleese
Q34743	Rudyard Kipling
Q117467	Royal Society of Edinburgh
Q33977	Jules Verne
Q863	Tajikistan
Q128759	Stanislao Cannizzaro
Q39	Switzerland
Q230395	Meaghan Jette Martin
Q1225	Bruce Springsteen
Q106706	Jeff Goldblum
Q131259	Alexander Rybak
Q189172	Andrey Korotayev
Q48226	Ralph Waldo Emerson
Q156193	Pierre Boulez
Q55800	Oprah Winfrey
Q243639	Jason Derulo
Q37621	Thomas Hobbes
Q193355	blues rock
Q164396	Victor Ambartsumian
Q712860	Chris Martin
Q49112	Yale University
Q76641	Felix Klein
Q361297	Joe Jackson
Q81244	Karl Popper
Q105875	Herbie Hancock
Q1321	Spanish
Q4617	Corbin Bleu
Q224	Croatia
Q2374149	botanist
Q766	Jamaica
Q262354	Taraneh Javanbakht
Q14277	William Herschel
Q796	Iraq
Q354181	Steven Van Zandt
Q214191	Michael Mann
Q1009	Cameroon
Q191	Estonia
Q272943	Joe Dassin
Q705715	RuPaul
Q208681	Kris Kristofferson
Q76490	Helge Schneider
Q16409	Tristan Tzara
Q47484	André Gide
Q60884	Günther Anders
Q362258	Vitas
Q104081	Mickey Rooney
Q846	Qatar
Q54828	Ivan Yefremov
Q170042	Bill Monroe
Q83172	Russian Academy of Sciences
Q57554	Georg Christoph Lichtenberg
Q1046616	Tim Rice-Oxley
Q78491	Stefan Zweig
Q355288	Berry Gordy
Q245068	comedian
Q233611	International Hydrographic Organization
Q128560	Graham Greene
Q1067043	Charlie Wilson
Q9353	John Locke
Q878	United Arab Emirates
Q121507	Alicia Keys
Q104791	Ed Harris
Q205456	Theo van Gogh
Q49088	Columbia University
Q6060	50 Cent
Q132952	Adam Sandler
Q464218	Connie Smith
Q196287	Mihajlo Pupin
Q36834	composer
Q62	San Francisco
Q224650	Sarah McLachlan
Q13371	Harvard University
Q47162	Romain Rolland
Q202735	Billy Bob Thornton
Q34266	Russian Empire
Q27306	Kingdom of Prussia
Q42775	Johnny Cash
Q9387	Max Weber
Q156942	Charles Wheatstone
Q388035	Gloria Trevi
Q127856	Beverly Hills
Q77184	Leopold von Ranke
Q235952	Gladys Knight
Q202449	David Ogden Stiers
Q35760	essay
Q7204	Middle East
Q909	Jorge Luis Borges
Q131252	University of Chicago
Q233295	Tila Tequila
Q34296	Woodrow Wilson
Q858	Syria
Q313281	Michel Legrand
Q4413456	Republic Records
Q190631	Bette Midler
Q686	Vanuatu
Q102289	Buckminster Fuller
Q753110	songwriter
Q51488	John Cassavetes
Q7200	Alexander Pushkin
Q5043	Christianity
Q65	Los Angeles
Q334	Singapore
Q754	Trinidad and Tobago
Q26695	Lionel Richie
Q155860	Andrey Vyshinsky
Q853	Andrei Tarkovsky
Q36180	writer
Q884	South Korea
Q188426	Roy Orbison
Q7243	Leo Tolstoy
Q355009	Jackson Browne
Q159	Russia
Q296609	Russell Brand
Q1785	Charles Aznavour
Q262314	Chris Rea
Q763	Saint Kitts and Nevis
Q6107	Tupac Shakur
Q162667	Glen Campbell
Q274429	Édouard René de Laboulaye
Q366057	Patrice Chéreau
Q710	Kiribati
Q18391	Elie Wiesel
Q45909	John Cale
Q1065	United Nations
Q18419	Brooklyn
Q414379	Academy of Useful Science
Q80424	Nelly Furtado
Q734	Guyana
Q902	Bangladesh
Q309926	Lemmy Kilmister
Q2405480	voice actor
Q312407	John Dos Passos
Q1065956	Charles Rosen
Q83287	Selena Gomez
Q714845	The Edge
Q354508	Sun Ra
Q183279	Zhores Alfyorov
Q332525	Shannon Leto
Q42	Douglas Adams
Q702468	Salvador de Madariaga
Q430076	Marc Connelly
Q741862	Massimo Bontempelli
Q48	Asia
Q155786	Dennis Gabor
Q167546	Lucio Dalla
Q4028	Paul Simon
Q36949	Robert De Niro
Q69631	Harald Weinrich
Q263730	Alejandro Jodorowsky
Q806349	bandleader
Q217557	Joyce Carol Oates
Q34069	Ashkenazi Jews
Q23530	Dmitry Medvedev
Q38	Italy
Q287177	ABC Records
Q333873	Valentin Kataev
Q1041	Senegal
Q3088816	Jim Messina
Q9056	Czech
Q981971	Mario Praz
Q125057	Richard Francis Burton
Q270085	Shen Kuo
Q83270	hard rock
Q34389	Whitney Houston
Q216563	Paul Anka
Q9960	Ronald Reagan
Q153776	Dmitri Kabalevsky
Q384535	African Union – United Nations Hybrid Operation in Darfur
Q234891	Yo-Yo Ma
Q850412	contemporary R&B
Q162005	Paul G. Allen
Q721819	Roy Clark
Q168452	Jean-Victor Poncelet
Q190770	Philip Warren Anderson
Q155855	Karel Čapek
Q152171	University of Bonn
Q319374	Leon Russell
Q1480793	Nuclear Suppliers Group
Q2599	Paul McCartney
Q270951	Alsou
Q79838	accordion
Q7199	Marcel Proust
Q4061	Woody Guthrie
Q313849	Ben Moody
Q184750	Slavoj Žižek
Q812155	Bavarian Academy of Fine Arts
Q42262	European Space Agency
Q206439	Isaac Hayes
Q172	Toronto
Q918966	Nahum Sokolow
Q164824	Jean-Baptiste Dumas
Q578109	television producer
Q83059	Saul Bellow
Q168992	Jessica Simpson
Q76686	August Schleicher
Q76683	Ludwig Prandtl
Q9358	Friedrich Nietzsche
Q216692	Ludvig Holberg
Q778	Bahamas
Q1545	Cyndi Lauper
Q189758	Marvin Gaye
Q79969	Emma Goldman
Q544387	Ray Charles
Q9067	Hungarian
Q342723	Gene Autry
Q2722764	radio personality
Q1512	Robert Louis Stevenson
Q189950	Osip Mandelstam
Q49734	Cass Elliot
Q214226	Lauryn Hill
Q235931	Teena Marie
Q645889	Reprise Records
Q175104	Jennifer Love Hewitt
Q217	Moldova
Q190772	Siméon Denis Poisson
Q809	Polish
Q30	United States of America
Q344983	Babyface
Q181659	Ursula K. Le Guin
Q380799	M. Pokora
Q760	Saint Lucia
Q186042	John Kenneth Galbraith
Q6078	Dr. Dre
Q7976	American English
Q77	Uruguay
Q47480	Paul Dirac
Q843402	Warner Bros. Records
Q142	France
Q505994	Tony Visconti
Q107405	Lars Onsager
Q80938	John Travolta
Q13955	Arabic
Q313755	Harry Connick Jr.
Q272203	Van Morrison
Q484523	Jared Leto
Q470758	Colm Tóibín
Q8814	Augustin-Louis Cauchy
Q954	Zimbabwe
Q837	Nepal
Q774	Guatemala
Q57106	Heinrich Schliemann
Q107730	Vince Vaughn
Q19201	Mike Shinoda
Q201477	Jean-Antoine-Nicolas de Caritat de Condorcet
Q790	Haiti
Q1031340	Mark Linkous
Q11637	Judy Garland
Q1988375	Oleg Skripka
Q432	Islam
Q35	Denmark
Q193744	Tori Amos
Q1622272	university teacher
Q70855	Friedrich von Raumer
Q1028	Morocco
Q43343	contemporary folk music
Q6625963	novelist
Q1060636	Daniel Handler
Q8341	jazz
Q214665	Nino Rota
Q804	Panama
Q207544	L. Frank Baum
Q233736	Mýa
Q503246	Juilliard School
